index,stableKey,title,subtitle,description,categoryTheme,durationMinutes,associatedImageSlot,treatment,artDirectionNote,stateMetadata
1,abundance-dawn-circle,Abundance Dawn Circle,Abundance - 5 min - Manifestation room,"Set a clear morning intention for open doors, provision, and wise choices.",Abundance,5,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
2,financial-flow-intention-room,Financial Flow Intention Room,Abundance - 10 min - Manifestation room,"Call in healthy financial flow with discipline, stewardship, and generosity.",Abundance,10,live.card.default,collective live moment,"Expansive horizons, optimistic highlights, opportunity momentum.",Seed template item; rendered into canonical occurrences at runtime.
3,opportunity-gateway-gathering,Opportunity Gateway Gathering,Manifestation - 15 min - Manifestation room,"Open pathways for aligned opportunities, partnerships, and strategic timing.",Manifestation,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
4,career-breakthrough-field,Career Breakthrough Field,Career - 10 min - Manifestation room,"Manifest career breakthroughs through preparation, confidence, and aligned action.",Career,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
5,entrepreneur-clarity-session,Entrepreneur Clarity Session,Career - 15 min - Manifestation room,"Strengthen entrepreneurial vision with clarity, resilience, and ethical growth.",Career,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
6,purpose-alignment-assembly,Purpose Alignment Assembly,Purpose - 10 min - Manifestation room,Align daily choices with deeper purpose and long term calling.,Purpose,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
7,vision-expansion-forum,Vision Expansion Forum,Manifestation - 15 min - Manifestation room,Expand vision while grounding it in practical milestones and collaboration.,Manifestation,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
8,gratitude-amplifier-circle,Gratitude Amplifier Circle,Gratitude - 5 min - Manifestation room,Use gratitude to raise emotional state and strengthen manifestation focus.,Gratitude,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
9,heart-coherence-relationships-room,Heart Coherence for Relationships,Relationships - 10 min - Manifestation room,Manifest healthier relationships through emotional coherence and compassion.,Relationships,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
10,forgiveness-renewal-space,Forgiveness Renewal Space,Forgiveness - 15 min - Manifestation room,"Transform resentment into freedom, repair, and emotional renewal.",Forgiveness,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
11,family-harmony-intention-room,Family Harmony Intention Room,Relationships - 10 min - Manifestation room,"Set intentions for harmony, patience, and unity within family life.",Relationships,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
12,home-blessing-manifestation,Home Blessing Manifestation,Home - 5 min - Manifestation room,"Invite peace, protection, and welcoming energy into the home.",Home,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
13,calm-nervous-system-reset-room,Calm Nervous System Reset Room,Wellbeing - 5 min - Manifestation room,Regulate the nervous system and restore calm for focused intention work.,Wellbeing,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
14,healing-light-communion,Healing Light Communion,Healing - 15 min - Manifestation room,"Gather for collective healing intention across body, mind, and spirit.",Healing,15,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
15,body-restoration-intention,Body Restoration Intention,Healing - 10 min - Manifestation room,Set a focused intention for physical restoration and sustainable energy.,Healing,10,live.card.default,collective live moment,Restorative atmospheric tones with collective warmth.,Seed template item; rendered into canonical occurrences at runtime.
16,confidence-voice-activation,Confidence and Voice Activation,Confidence - 5 min - Manifestation room,Activate confidence and clear expression for key conversations and decisions.,Confidence,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
17,creative-momentum-chamber,Creative Momentum Chamber,Creativity - 10 min - Manifestation room,Manifest creative momentum and overcome resistance to starting.,Creativity,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
18,artist-inspiration-convergence,Artist Inspiration Convergence,Creativity - 15 min - Manifestation room,Deepen artistic inspiration while staying grounded in craft and completion.,Creativity,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
19,sacred-leadership-intention-hub,Sacred Leadership Intention Hub,Leadership - 10 min - Manifestation room,"Manifest leadership rooted in service, courage, and emotional maturity.",Leadership,10,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
20,community-service-manifestation,Community Service Manifestation,Community - 15 min - Manifestation room,Manifest collective service impact through aligned teams and resources.,Community,15,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
21,peaceful-sleep-invocation-event,Peaceful Sleep Invocation Event,Wellbeing - 5 min - Manifestation room,"Prepare body and mind for deep, restorative sleep.",Wellbeing,5,live.card.default,collective live moment,Collective-room atmosphere with pulse cues and shared-focus center.,Seed template item; rendered into canonical occurrences at runtime.
