index,stableKey,title,subtitle,description,categoryTheme,durationMinutes,associatedImageSlot,treatment,artDirectionNote,appCtaLabel,metadata
1,prayer:prayer-for-family-unity:relationships,Prayer for Family Unity,Relationships - 5 min - runtime starts,"Guide this bond with patience, trust, and healthy communication that strengthens connection.",Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
2,prayer:prayer-for-reconciliation:relationships,Prayer for Reconciliation,Relationships - 5 min - runtime starts,Bring peace to conversations and clarity to unresolved moments so healing can continue.,Relationships,5,solo.card.default,personal ritual,Dual-node compositions and relational warmth.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
3,prayer:prayer-for-inner-calm:wellbeing,Prayer for Inner Calm,Wellbeing - 5 min - runtime starts,"Anchor the mind, steady the breath, and restore calm energy for the day ahead.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
4,prayer:prayer-for-rest-and-renewal:wellbeing,Prayer for Rest and Renewal,Wellbeing - 5 min - runtime starts,"Support healthy routines, deep rest, and resilience through every challenge.",Wellbeing,5,solo.card.default,personal ritual,Breath-like gradients and low visual noise.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
5,prayer:prayer-for-provision:abundance,Prayer for Provision,Abundance - 5 min - runtime starts,"Open pathways for provision, wise decisions, and meaningful opportunities.",Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
6,prayer:prayer-for-responsible-growth:abundance,Prayer for Responsible Growth,Abundance - 5 min - runtime starts,"Align resources with purpose and invite generosity, discipline, and gratitude.",Abundance,5,solo.card.manifestation,personal ritual,"Luminous gold accents, optimistic horizon depth, growth cues.",Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
7,prayer:prayer-for-clear-purpose:purpose,Prayer for Clear Purpose,Purpose - 5 min - runtime starts,Clarify priorities and reveal the next right step with courage and consistency.,Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
8,prayer:prayer-for-meaningful-work:purpose,Prayer for Meaningful Work,Purpose - 5 min - runtime starts,Strengthen conviction and serve with humility in every mission you are called to.,Purpose,5,solo.card.manifestation,personal ritual,Directional lines and disciplined visual clarity.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
9,prayer:prayer-for-household-protection:protection,Prayer for Household Protection,Protection - 5 min - runtime starts,"Cover your home and loved ones with safety, wisdom, and steady protection.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
10,prayer:prayer-for-safe-travel:protection,Prayer for Safe Travel,Protection - 5 min - runtime starts,"Guard each journey with attentiveness, safe passage, and peaceful arrival.",Protection,5,solo.card.default,personal ritual,Shield-like framing with grounded secure composition.,Begin prayer,Seed duration 5 min; runtime includes starts_count and generated script variants.
